Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Landing Page,100,1270,1207,1641,1860,2122,816,2370,0.000%,.98656,1183.70,3.03
Login,100,12356,12807,20248,20506,20736,997,21106,0.000%,.83367,169.00,2.76
View Course,300,4044,4217,6156,6381,6683,556,6785,0.000%,2.21528,482.24,5.23
Quiz,100,2464,2668,3807,3971,4106,484,4293,0.000%,.79730,97.66,0.35
Moodle Assignment,100,2852,2939,4362,4444,4604,592,4640,0.000%,.76672,96.42,0.34
Forum,100,3599,3577,5638,5807,6069,499,6236,0.000%,.74555,144.31,0.33
Course View,100,3765,3606,5964,6122,6387,848,6581,0.000%,.73835,145.41,0.97
Download File,100,1293,1242,1585,1848,2074,874,2078,0.000%,.73819,752.38,0.45
Home Page,100,3328,3181,5479,5877,6260,484,6273,0.000%,.74074,144.66,0.62
Log Out,100,1508,1476,2483,2754,2894,254,2956,0.000%,.74476,80.17,0.34
TOTAL,1200,3714,2811,6120,10329,20125,254,21106,0.000%,8.40124,2811.98,12.62
